operation_id,case_study,model,treatment,initial_candidate_hash,initial_validation_stage,completed,recovered,final_validation_stage,additional_generation_count
CoCoME_processSale_endSale,CoCoME,gpt-5.5,none,3bec29f1abd8118a89c9625d74722bd2ee335e7f08db4b812986110b92509b70,parser,True,True,passed,1
CoCoME_processSale_makeCashPayment,CoCoME,gpt-5.5,none,a9804ff3f7d70cac1705bc49e01af8950b8559c45e03e7dc9132227ac69bc731,parser,True,False,parser,4
LibraryManagementSystem_renewBook_renewBook,Library Management,gpt-5.5,none,f9a9ffdb00457ace4dc255be53c66fe8ca0a63fab9b4045609de7f97269a5e70,typescript_parser,True,True,passed,2
LoanProcessingSystem_evaluateLoanRequest_checkCreditHistory,Loan Processing,gpt-5.5,none,8cb16f225c28e5fd1d9afb60d25f93e733aa3d7025f64085cd96495d5df2f833,parser,True,False,parser,4
LoanProcessingSystem_submitLoanRequest_calculateScore,Loan Processing,gpt-5.5,none,0c0339a9beed8ded474af8fc3fd1c01cf1ae90683b6da2ae3ebac10af4cb4177,parser,True,False,parser,4
CoCoME_processSale_endSale,CoCoME,gpt-5.5,generic,3bec29f1abd8118a89c9625d74722bd2ee335e7f08db4b812986110b92509b70,parser,True,True,passed,1
CoCoME_processSale_makeCashPayment,CoCoME,gpt-5.5,generic,a9804ff3f7d70cac1705bc49e01af8950b8559c45e03e7dc9132227ac69bc731,parser,True,False,parser,4
LibraryManagementSystem_renewBook_renewBook,Library Management,gpt-5.5,generic,f9a9ffdb00457ace4dc255be53c66fe8ca0a63fab9b4045609de7f97269a5e70,typescript_parser,True,False,parser,4
LoanProcessingSystem_evaluateLoanRequest_checkCreditHistory,Loan Processing,gpt-5.5,generic,8cb16f225c28e5fd1d9afb60d25f93e733aa3d7025f64085cd96495d5df2f833,parser,True,False,parser,4
LoanProcessingSystem_submitLoanRequest_calculateScore,Loan Processing,gpt-5.5,generic,0c0339a9beed8ded474af8fc3fd1c01cf1ae90683b6da2ae3ebac10af4cb4177,parser,True,False,parser,4
CoCoME_processSale_endSale,CoCoME,gpt-5.5,full,3bec29f1abd8118a89c9625d74722bd2ee335e7f08db4b812986110b92509b70,parser,True,True,passed,2
CoCoME_processSale_makeCashPayment,CoCoME,gpt-5.5,full,a9804ff3f7d70cac1705bc49e01af8950b8559c45e03e7dc9132227ac69bc731,parser,True,True,jest,4
LibraryManagementSystem_renewBook_renewBook,Library Management,gpt-5.5,full,f9a9ffdb00457ace4dc255be53c66fe8ca0a63fab9b4045609de7f97269a5e70,typescript_parser,True,True,passed,1
LoanProcessingSystem_evaluateLoanRequest_checkCreditHistory,Loan Processing,gpt-5.5,full,8cb16f225c28e5fd1d9afb60d25f93e733aa3d7025f64085cd96495d5df2f833,parser,True,True,passed,1
LoanProcessingSystem_submitLoanRequest_calculateScore,Loan Processing,gpt-5.5,full,0c0339a9beed8ded474af8fc3fd1c01cf1ae90683b6da2ae3ebac10af4cb4177,parser,True,True,passed,2
