source_result_dir,model,operation_id,case_study,final_attempt,error_type
rq_gpt_5_4_full_oracle_fixed,gpt-5.4,CoCoME_processSale_enterItem,CoCoME,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,Airport_raiseRepair_approve,Airport,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,Airport_raiseRepair_feedback,Airport,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,AutomatedTellerMachine_checkBalance_ejectCard,ATM,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,AutomatedTellerMachine_depositFunds_inputCard,ATM,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,AutomatedTellerMachine_depositFunds_inputPassword,ATM,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,AutomatedTellerMachine_depositFunds_printReceipt,ATM,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,AutomatedTellerMachine_depositFunds_ejectCard,ATM,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,AutomatedTellerMachine_manageBankCard_deleteBankCard,ATM,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,AutomatedTellerMachine_withdrawCash_inputPassword,ATM,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,AutomatedTellerMachine_withdrawCash_withdrawCash,ATM,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,AutomatedTellerMachine_withdrawCash_printReceipt,ATM,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,AutomatedTellerMachine_withdrawCash_ejectCard,ATM,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,CoCoME_changePrice_changePrice,CoCoME,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,CoCoME_orderProducts_placeOrder,CoCoME,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,CoCoME_processSale_makeCashPayment,CoCoME,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,CoCoME_receiveOrderedProduct_receiveOrderedProduct,CoCoME,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,LibraryManagementSystem_borrowBook_borrowBook,Library Management,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,LibraryManagementSystem_countDownSuspensionDay_countDownSuspensionDay,Library Management,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,LibraryManagementSystem_listBookHistory_listOverDueBook,Library Management,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,LibraryManagementSystem_manageUser_createUser,Library Management,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,LoanProcessingSystem_closeOutLoan_closeOutLoan,Loan Processing,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,LoanProcessingSystem_enterValidatedCreditReferences_chooseLoanRequest,Loan Processing,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,LoanProcessingSystem_enterValidatedCreditReferences_markRequestValid,Loan Processing,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,LoanProcessingSystem_evaluateLoanRequest_listTenLoanRequest,Loan Processing,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,LoanProcessingSystem_evaluateLoanRequest_chooseOneForReview,Loan Processing,5,llm_api_error
