model,case_study,error_type,count,percentage
qwen3-coder-plus,ATM,empty_response,6,40.0000
qwen3-coder-plus,ATM,missing_context,9,60.0000
qwen3-coder-plus,Airport,empty_response,2,18.1818
qwen3-coder-plus,Airport,missing_context,9,81.8182
qwen3-coder-plus,CoCoME,empty_response,9,60.0000
qwen3-coder-plus,CoCoME,missing_context,6,40.0000
qwen3-coder-plus,Library Management,empty_response,18,81.8182
qwen3-coder-plus,Library Management,missing_context,4,18.1818
qwen3-coder-plus,Loan Processing,empty_response,8,61.5385
qwen3-coder-plus,Loan Processing,missing_context,5,38.4615
